a q
15 121
b 38
c 16
d 29
e 44
f 2
g 14
h 1
i 7
j 18
k 26
l 49
m 4
n 13
o 31
p 3
b a 20
c b 18
d b 23
e a 32
f b 44
g d 3
h b 47
i h 4
j b 16
k i 2
l b 23
m k 11
n l 33
o l 30
p l 2
q m 42
l f 4
c m 35
a d 3
a o 1
d k 36
m l 10
o k 38
i f 19
k q 30
c k 11
m e 13
n o 36
e p 14
i n 19
e q 44
k l 35
p q 24
o f 50
i a 50
d i 3
k b 1
n k 49
a j 44
c l 28
i l 14
q j 27
j i 50
d j 17
g h 33
b i 28
d c 5
e d 45
q b 37
n b 12
n g 37
g m 13
j h 25
d n 35
g b 42
k a 1
l j 34
h f 33
e n 2
a m 40
m b 44
f c 44
f e 36
e b 20
i p 21
o d 2
n m 42
d m 4
j f 17
i m 32
i g 49
m h 18
a f 32
g j 29
e k 32
f g 36
c o 29
g o 4
a h 17
g q 32
c g 17
h k 48
a p 28
l d 19
j m 17
d q 34
o b 4
e j 45
p m 5
i q 34
p j 11
q f 26
o i 48
e h 3
q l 24
j k 13
f k 45
d f 35
c i 9
b p 28
p g 47
p o 8
e l 48
e g 42
q o 1
q c 29
a g 39
n f 43
a l 4
l g 31
g k 41
q a 25
m o 38
f m 15
h o 47
j n 17
p k 22
h q 45
p f 26
j c 35
q n 26
