STATION_NAME,LATITUDE,LONGITUDE,T1E,T1R,T1B,T2P,T2L,T3B,T3L,T4C,T4W,T5,T6,T7,T8M,T8R,T9,M,C
Allawah,-33.96958391,151.11433,,,,,,,,14,9,,,,,,,,1
Arncliffe,-33.93645619,151.1472995,,,,,,,,,14,,,,,,,,1
Artarmon,-33.80890264,151.1852939,24,,16,,,,,,,,,,,,26,,3
Ashfield,-33.88755061,151.1255042,,,,12,20,,,,,,,,,,,,2
Asquith,-33.68876996,151.1080252,,,4,,,,,,,,,,,,,,1
Auburn,-33.8492696,151.032867,,,,5,15,,,,,,,,,,,,2
Banksia,-33.94528645,151.1404316,,,,,,,,,13,,,,,,,,1
Bankstown,-33.91786454,151.0346869,,,,,,10,6,,,,,,,,,,2
Bardwell Park,-33.93161666,151.1248574,,,,,,,,,,,,,,8,,,1
Beecroft,-33.74995417,151.0662982,,,,,,,,,,,,,,,5,,1
Belmore,-33.91721798,151.0887332,,,,,,,10,,,,,,,,,,1
Berala,-33.87183567,151.0324418,,,,,,,2,,,,,,,,,,1
Berowra,-33.6236572,151.1529711,,,1,,,,,,,,,,,,,,1
Beverly Hills,-33.94884857,151.0816922,,,,,,,,,,,,,,5,,,1
Bexley North,-33.93756601,151.1133973,,,,,,,,,,,,,,7,,,1
Birrong,-33.8932786,151.0240413,,,,,,9,4,,,,,,,,,,2
Blacktown,-33.76822903,150.9075105,9,11,,,,,,,,20,,,,,,,3
Bondi Junction,-33.89120228,151.2483843,,,,,,,,26,24,,,,,,,,2
Burwood,-33.87731465,151.1047622,,,26,10,19,,,,,,,,,,16,,4
Cabramatta,-33.89486655,150.9388206,,,,,7,3,,,,7,,,,,,,3
Camellia,-33.81873435,151.0243009,,,,,,,,,,,5,,,,,,1
Campbelltown,-34.06383549,150.813929,,,,,,,,,,,,,2,,,,1
Campsie,-33.91048116,151.1026308,,,,,,12,11,,,,,,,,,,2
Canley Vale,-33.88679793,150.943987,,,,,8,,,,,8,,,,,,,2
Canterbury,-33.91167214,151.1182133,,,,,,,12,,,,,,,,,,1
Caringbah,-34.04161039,151.1227476,,,,,,,,3,,,,,,,,,1
Carlingford,-33.78220108,151.0470507,,,,,,,,,,,1,,,,,,1
Carlton,-33.96826632,151.1243369,,,,,,,,15,10,,,,,,,,1
Carramar,-33.88431779,150.9615486,,,,,,4,,,,,,,,,,,1
Casula,-33.94981838,150.911946,,,,,4,,,,,4,,,,,,,2
Central,-33.88388163,151.2058293,16,20,24,20,23,16,20,21,19,,,,17,15,18,,12
Chatswood,-33.79713406,151.1808207,25,26,15,,,,,,,,,,,,27,5,5
Cheltenham,-33.75586837,151.0788513,,,,,,,,,,,,,,,6,,1
Chester Hill,-33.8835435,150.9994456,,,,,,7,,,,,,,,,,,1
Circular Quay,-33.86132358,151.2103898,,,,23,26,19,23,,,,,,20,18,,,6
Clarendon,-33.60895245,150.7885628,,3,,,,,,,,,,,,,,,1
Clyde,-33.83628176,151.0174895,,,,4,14,,,,,,7,,,,,,3
Como,-34.00426616,151.0679988,,,,,,,,9,,,,,,,,,2
Concord West,-33.84873998,151.0856262,,,,,,,,,,,,,,,13,,1
